Titulo,Sku,Precio Original,Precio Envio,Stock
"Teclado Gamer HyperX Alloy Core RGB, Alámbrico, Negro (Español)",4P4F5AI#AC8,"$1,126.00",$99.00,104
"Corsair Audífonos Gamer HS35, Alámbrico, 1.1 Metros, 3.5mm, Negro/Azul",CA-9011196-NA,$630.00,$99.00,149
Honeywell HF680-R1-2USB Lector de Código de Barras 2D - incluye Cables,HF680-R1-2USB,"$4,102.00",$99.00,22
"Memoria RAM Dell AB663419 DDR4, 3200MHz, 8GB, ECC — Fabricado por Socios Dell",AB663419,"$3,988.00",$99.00,23
"Mini Mouse Logitech Óptico M187, Inalámbrico, USB, 1000DPI Rosa",910-005364,$355.00,$99.00,315
"SSD Crucial MX500, 500GB, SATA III, 2.5""",CT500MX500SSD1,$827.00,$99.00,58
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Negro",910-005281,"$1,286.00",$99.00,10
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Azul",910-006013,"$1,248.00",$99.00,8
"Tarjeta de Video Gigabyte NVIDIA GeForce GTX 1660 OC, 6GB 192-bit GDDR5, PCI Express x16 3.0",GV-N1660OC-6GD,"$6,739.00",$99.00,27
"Memoria Flash SanDisk para Nintendo Switch, 128GB MicroSDXC Clase 3",DSQXAO-128G-GNCZN,$498.00,$99.00,348
"Procesador Intel Core i5-11400F, S-1200, 2.60GHz, Six-Core, 12MB Smart Cache (11va Generación - Rocket Lake)",BX8070811400F,"$2,688.00",$99.00,1193
"Tablet Lenovo Tab M7 Gen3 7"", 32GB, Android 11, Gris",ZA8C0009MX,"$2,832.00",$99.00,192
"Procesador AMD Ryzen 9 5950X, S-AM4, 3.40GHz, 8MB L3 Cache - no incluye Disipador",100-100000059WOF,"$9,132.00",$99.00,4
"Gabinete NZXT H510 Elite con Ventana RGB, Midi-Tower, ATX/E-ATX/Micro ATX/Mini-ATX, USB 3.0, sin Fuente, 4 Venitiladores Instalados, Blanco",CA-H510E-W1,"$3,252.00",$159.00,3
"Logitech Audífonos Gamer G335 para PC/Xbox/PS4/Nintendo Switch, Alámbrico, 3.5mm, Negro",981-000977,"$1,364.00",$99.00,6
"SSD HP S650, 960GB, SATA III, 2.5""",345N0AA,$816.00,$99.00,97
"Fuente de Poder EVGA 700-K1 80 PLUS Bronze, ATX, 120mm, 700W",100-BR-0700-K1,"$1,880.00",$99.00,89
"Procesador AMD Ryzen 5 3600, S-AM4, 3.60GHz, 32MB L3 Cache, con Disipador Wraith Stealth",100-100000031BOX,"$2,301.00",$99.00,85
"Teclado Microsoft Designer Compact, Inalámbrico, Bluetooth, Negro (Español)",21Y-00061,"$1,146.00",$99.00,9
"Disco Duro para Servidor Western Digital WD Ultrastar 4TB SATA III 7200RPM 3.5"" 6 Gbit/s",0B35950,"$4,527.00",$99.00,2
"Procesador AMD Ryzen 7 5800X3D, S-AM4, 3.40GHz, 8-Core, 96MB L3 Cache - no incluye Disipador",100-100000651WOF,"$7,217.00",$99.00,18
"SSD Western Digital WD_Black SN770 NVMe, 500GB, PCI Express 4.0, M.2",WDS500G3X0E,$799.00,$99.00,55
"Monitor Acteck 933858 LED 21.5"", Full HD, 75Hz, HDMI, Negro",AC-933858,"$1,730.00",$144.00,115
"Kit Gamer 3 en 1 Corsair Teclado K60 RGB Pro + Mouse Harpoon RGB Pro + Mousepad MM300, Alámbrico, USB, Negro (Inglés)",CH-910D519-SP,"$2,024.00",$99.00,23
"Logitech Bocina Z625 con Subwoofer, Alámbrico, 2.1, 70W RMS, Entrada Óptica, Negro",980-001258,"$4,735.00",$144.00,11
"Teclado Logitech Pop Keys, Teclado Mecánico, Inalámbrico, Menta/Violeta/Blanco/Amarillo (Español)",920-010714,"$1,850.00",$99.00,2
"Teclado Logitech Touch K400 Plus, Inalámbrico, USB, Negro (Español)",920-007123,$849.00,$99.00,176
"Mouse Gamer Primus Óptico GLADIUS8200T, Alámbrico, USB, 8200DPI, Negro",PMO-102,$640.00,$99.00,7
"Astro Gaming Audífonos Gamer A10 para PS4/PS5/Xbox/PC/Mac, Alámbrico, 3.5mm, Negro/Azul",939-001594,"$1,032.00",$99.00,75
"Tarjeta de Video Gigabyte AMD Radeon RX 6600 Eagle 8G, 8GB 128-bit GDDR6, PCI Express x8 4.0 ― ¡Compra y llévate de regalo Starfield!",GV-R66EAGLE-8GD,"$5,042.00",$99.00,156
"Tóner Brother TN-310BK Negro, 2500 Páginas ― ¡Envio gratis limitado a 5 productos por cliente!",TN-310BK,"$1,779.00",Envío gratis,107
"HP Docking Station 5TW10AA USB-C, 4x USB 3.0, 1x USB-C, 1x HDMI/2x DisplayPort/1x RJ-45, Negro",5TW10AA,"$3,904.00",$99.00,27
"Tarjeta Madre Gigabyte AORUS X507S Master, S-AM4, AMD X507, USB 3.2, 128GB DDR4 para AMD ― Requiere Actualización de BIOS para la Serie Ryzen 5000",X570S AORUS MASTER,"$7,991.00",$99.00,7
"Disco Duro para Laptop Toshiba L200 2.5'', 1TB, SATA III, 6Gbit/s, 5400RPM, 128MB Cache",HDWL110UZSVA,$799.00,$99.00,38
"Gabinete Yeyian Hollow 2500 con Ventana RGB, Midi-Tower, ATX/EATX/ITX/Micro ATX, USB 3.0, sin Fuente, sin Ventiladores Instalados, Negro/Blanco",YGH-49704,"$1,038.00",$144.00,79
"Teclado Logitech MX Mechanical Mini TKL, Inalámbrico, Bluetooth, Grafito (Español)",920-010846,"$3,015.00",$99.00,2
"Teclado Gamer Ocelot Gaming Candy Blue 60 RGB, Teclado Mecánico, Switch Blue, Alámbrico, Azul/Morado (Inglés)",CANDY BLUE 60-OC,$725.00,$99.00,267
"DSC Gabinete para Panel de Control GMX003, Beige, para  PC1832/HS2032/HS2128",GMX-003,$567.00,$99.00,1107
"Procesador Intel Core i5-13600K, S-1700, 3.50GHz, 14-Core, 24MB Smart Cache (13va. Generación - Raptor Lake)",BX8071513600K,"$6,578.00",$99.00,32
"SSD PNY CS1031 NVMe, 500GB, PCI Express 3.0, M.2",M280CS1031-500-CL,$538.00,$99.00,3
"Disco Duro Interno Toshiba L200 2.5"", 2TB, SATAIII, 6 Gbit/s, 5400RPM, 128MB Caché",HDWL120UZSVA,"$1,269.00",$99.00,18
"Procesador AMD Ryzen 5 5600G con Gráficos Radeon 7, S-AM4, 3.90GHz, Six-Core, 16MB L3 Caché - incluye Disipador Wraith Stealth",100-100000252BOX,"$2,170.00",$99.00,215
"SSD Adata Ultimate SU630 QLC 3D, 960GB, SATA, 2.5"", 7mm",ASU630SS-960GQ-R,$715.00,$99.00,37
"Amazon Echo Dot Asistente de Voz 5ta Generación, Inalámbrico, WiFi, Bluetooth, Azul",B0BF6WVJ63,$998.00,$99.00,387
"Tóner Brother TN-620 Negro, 3000 Páginas ― ¡Envio gratis limitado a 5 productos por cliente!",TN620,"$2,094.00",Envío gratis,2
"Laptop Lenovo ThinkBook 14s G2 ITL 14"" Full HD, Intel Core i5-1135G7 2.40GHz, 16GB, 256GB SSD, Windows 10 Pro 64-bit, Español, Gris",20VA0031LM,"$21,044.00",$99.00,¡1
"Procesador AMD Ryzen 5 5600X, S-AM4, 3.70GHz, 32MB L3 Cache - incluye Disipador Wraith Stealth",100-100000065BOX,"$2,957.00",$99.00,582
"Logitech Bocinas con Subwoofer Z313, 2.1, 25W RMS, Negro",980-000401,"$1,513.00",$99.00,9
"Tóner Brother TN-360 Negro, 2600 Páginas ― ¡Envio gratis limitado a 5 productos por cliente!",TN-360,"$1,789.00",Envío gratis,5
"Mouse Gamer Ergonómico Logitech Óptico G502 Hero RGB, Alámbrico, USB, 16.000DPI, Negro",910-005550,"$1,093.00",$99.00,2
"Monitor Gamer Balam Rush Odissey LED 23.8"" Full HD, FreeSync, 144Hz, HDMI, Negro",BR-932417,"$3,224.00",$144.00,8
"Servidor HPE ProLiant DL380 Gen10 Plus, Intel Xeon Silver 4310 2.10GHz, 32GB DDR4, max. 8TB, 2.5”, NVMe/SAS/SATA, Rack (2U)  - no Sistema Operativo Instalado",P55246-B21,"$134,833.00",$269.00,3
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Blanco",981-000882,"$2,940.00",$99.00,2
"SSD Samsung 970 EVO Plus NVMe, 500GB, M.2, PCI Express 3.0",MZ-V7S500B/AM,$853.00,$99.00,4
"SSD XPG GAMMIX S70 BLADE NVMe, 4TB, PCI Express 4.0, M.2",AGAMMIXS70B-4T-CS,"$5,285.00",$99.00,18
